dataset,condition,genotype,num_leaves,plant_width,rep,round,DAP,relative_dap,paper_genotype
never_flowered,16,2.16,17,23,4.1,2,37,0.506849315,NY_63
never_flowered,16,2.16,11,15,8.1,2,37,0.506849315,NY_63
never_flowered,20,2.16,18,23,1,2,37,0.506849315,NY_63
never_flowered,20,2.16,17,29.5,2,2,28,0.383561644,NY_63
never_flowered,20,2.16,14,32,3.1,2,34,0.465753425,NY_63
never_flowered,20,2.16,14,28,3.2,2,34,0.465753425,NY_63
never_flowered,20,2.16,16,25,3.3,2,34,0.465753425,NY_63
never_flowered,20,2.16,20,26.2,4,2,28,0.383561644,NY_63
never_flowered,20,2.16,16,24,5.5,2,28,0.383561644,NY_63
never_flowered,20,2.16,17,25,5.2,2,28,0.383561644,NY_63
never_flowered,20,2.16,21,28,6,2,34,0.465753425,NY_63
never_flowered,20,2.16,18,28,9,2,34,0.465753425,NY_63
never_flowered,30,2.16,28,32,2,2,34,0.465753425,NY_63
never_flowered,30,2.16,26,30,4,2,28,0.383561644,NY_63
never_flowered,30,2.16,30,34,7,2,34,0.465753425,NY_63
never_flowered,30,2.16,33,31,8,2,28,0.383561644,NY_63
never_flowered,20,14.2,18,27.8,1,3,59,0.808219178,NY_09
never_flowered,20,14.2,19,25,2,3,59,0.808219178,NY_09
never_flowered,20,14.2,21,30,3,3,59,0.808219178,NY_09
never_flowered,20,14.2,18,27.4,4,3,59,0.808219178,NY_09
never_flowered,20,14.2,13,21.5,5.1,3,59,0.808219178,NY_09
never_flowered,20,14.2,9,5.5,5.2,3,50,0.684931507,NY_09
never_flowered,20,14.2,22,33,6,3,59,0.808219178,NY_09
never_flowered,20,14.2,21,28,8,3,64,0.876712329,NY_09
never_flowered,20,14.2,10,13.7,8.1,3,50,0.684931507,NY_09
never_flowered,20,14.2,12,17.3,8.2,3,50,0.684931507,NY_09
never_flowered,20,14.2,26,31,9,3,64,0.876712329,NY_09
never_flowered,20,20.295,20,26,1,3,59,0.808219178,NY_30
never_flowered,20,20.295,17,24.5,3,3,59,0.808219178,NY_30
never_flowered,20,20.295,30,27.4,4,3,59,0.808219178,NY_30
never_flowered,20,20.295,18,26.3,5.1,3,59,0.808219178,NY_30
never_flowered,20,20.295,13,5.5,6,3,59,0.808219178,NY_30
never_flowered,20,20.295,38,32,7,3,64,0.876712329,NY_30
never_flowered,20,20.295,18,25.6,9,3,64,0.876712329,NY_30
never_flowered,20,7.99,17,18,8,3,52,0.712328767,NY_56
never_flowered,20,7.99,15.3,23,1.1,3,59,0.808219178,NY_56
never_flowered,20,7.99,0,22.6,1.2,3,59,0.808219178,NY_56
never_flowered,20,7.99,11,12.6,3,3,52,0.712328767,NY_56
never_flowered,20,7.99,14.2,21.3,2.1,3,59,0.808219178,NY_56
never_flowered,20,7.99,9,13.7,2.2,3,59,0.808219178,NY_56
never_flowered,20,7.99,8,19.4,2.3,3,59,0.808219178,NY_56
never_flowered,20,7.99,8,11.7,2.4,3,59,0.808219178,NY_56
never_flowered,20,7.99,22,16.8,3,3,59,0.808219178,NY_56
never_flowered,20,7.99,30,16.8,4.1,3,59,0.808219178,NY_56
never_flowered,20,7.99,12,14.7,4.2,3,50,0.684931507,NY_56
never_flowered,20,7.99,11,14.5,4.3,3,50,0.684931507,NY_56
never_flowered,20,7.99,40,18.7,5.1,3,59,0.808219178,NY_56
never_flowered,20,7.99,14,16.5,5.2,3,50,0.684931507,NY_56
never_flowered,20,7.99,41,30,6,3,59,0.808219178,NY_56
never_flowered,20,7.99,15,26.5,7.1,3,64,0.876712329,NY_56
never_flowered,20,7.99,12,29.2,7.2,3,64,0.876712329,NY_56
never_flowered,20,7.99,35,28.5,8,3,64,0.876712329,NY_56
never_flowered,20,7.99,23,18.4,9.1,3,64,0.876712329,NY_56
never_flowered,20,7.99,11,14.5,9.2,3,64,0.876712329,NY_56
never_flowered,20,7.99,13,29.3,9.3,3,64,0.876712329,NY_56
never_flowered,16,14.2,13,13.6,1.1,3,73,1,NY_09
never_flowered,16,14.2,12,13.3,1.2,3,73,1,NY_09
never_flowered,16,14.2,20,25.4,2,3,73,1,NY_09
never_flowered,16,14.2,21,24.2,3,3,73,1,NY_09
never_flowered,16,14.2,21,26.7,5,3,73,1,NY_09
never_flowered,16,14.2,10,7.3,6,3,73,1,NY_09
never_flowered,16,14.2,31,23.5,8.1,3,73,1,NY_09
never_flowered,16,14.2,12,11.1,8.2,3,62,0.849315068,NY_09
never_flowered,16,14.2,21,25.4,9,3,73,1,NY_09
never_flowered,16,2.16,12,16.8,1.1,3,73,1,NY_63
never_flowered,16,2.16,13,25.5,7.1,3,73,1,NY_63
never_flowered,16,20.295,19,29,2,3,73,1,NY_30
never_flowered,16,20.295,19,22.2,5,3,73,1,NY_30
never_flowered,16,20.295,21,21.3,6,3,73,1,NY_30
never_flowered,16,20.295,23,27,7,3,73,1,NY_30
never_flowered,16,20.295,23,24.2,8,3,73,1,NY_30
never_flowered,16,2.16,28,15,8,3,43,0.589041096,NY_63
never_flowered,16,2.16,16,4.4,6.1,3,73,1,NY_63
never_flowered,16,7.99,17.5,13.4,1.1,3,73,1,NY_56
never_flowered,16,7.99,14,12.2,1.2,3,73,1,NY_56
never_flowered,16,7.99,15,14.1,1.3,3,73,1,NY_56
never_flowered,16,7.99,13,11.1,1.4,3,73,1,NY_56
never_flowered,16,7.99,11,10.6,1.5,3,73,1,NY_56
never_flowered,16,7.99,12,13.7,2.1,3,73,1,NY_56
never_flowered,16,7.99,11,9,2.2,3,73,1,NY_56
never_flowered,16,7.99,14,16.2,3.1,3,73,1,NY_56
never_flowered,16,7.99,12,14.1,3.2,3,73,1,NY_56
never_flowered,16,7.99,12,14.6,3.3,3,73,1,NY_56
never_flowered,16,7.99,17,17.9,4.1,3,73,1,NY_56
never_flowered,16,7.99,12,14.2,4.2,3,73,1,NY_56
never_flowered,16,7.99,17,16.8,6,3,73,1,NY_56
never_flowered,16,7.99,12,12.8,7.1,3,73,1,NY_56
never_flowered,16,7.99,12,13.4,7.2,3,73,1,NY_56
never_flowered,16,7.99,10,15.2,7.3,3,73,1,NY_56
never_flowered,16,7.99,20,15.4,8,3,73,1,NY_56
never_flowered,16,7.99,19,16,9,3,73,1,NY_56
never_flowered,30,14.2,11,15.4,2,3,64,0.876712329,NY_09
never_flowered,30,14.2,15,28.4,4.1,3,64,0.876712329,NY_09
never_flowered,30,14.2,18,25.4,4.2,3,64,0.876712329,NY_09
never_flowered,30,14.2,11,15.5,6.1,3,55,0.753424658,NY_09
never_flowered,30,14.2,11,13.8,6.2,3,52,0.712328767,NY_09
never_flowered,30,14.2,3,0,6.3,3,36,0.493150685,NY_09
never_flowered,30,14.2,3,1,6.3,3,38,0.520547945,NY_09
never_flowered,30,14.2,5,2.3,6.3,3,41,0.561643836,NY_09
never_flowered,30,14.2,6,2.7,6.3,3,43,0.589041096,NY_09
never_flowered,30,14.2,6,3.4,6.3,3,45,0.616438356,NY_09
never_flowered,30,14.2,7,5.3,6.3,3,48,0.657534247,NY_09
never_flowered,30,14.2,10,10.9,6.3,3,50,0.684931507,NY_09
never_flowered,30,14.2,12,16,6.3,3,52,0.712328767,NY_09
never_flowered,30,14.2,12,16,6.3,3,55,0.753424658,NY_09
never_flowered,30,14.2,16,18.6,7.1,3,73,1,NY_09
never_flowered,30,14.2,22,26.1,7.2,3,64,0.876712329,NY_09
never_flowered,30,14.2,10,10.3,7.3,3,73,1,NY_09
never_flowered,30,14.2,18,21.6,8.1,3,73,1,NY_09
never_flowered,30,14.2,20,22.8,8.2,3,73,1,NY_09
never_flowered,30,14.2,24,30.5,9,3,73,1,NY_09
never_flowered,30,2.16,18,18.4,4.1,3,73,1,NY_63
never_flowered,30,2.16,18,19.1,5.1,3,73,1,NY_63
never_flowered,30,2.16,17,18.1,8.2,3,73,1,NY_63
never_flowered,30,2.16,20,20.5,1.2,3,73,1,NY_63
never_flowered,30,2.16,12,14.9,2.2,3,73,1,NY_63
never_flowered,30,2.16,14,18.2,3.2,3,73,1,NY_63
never_flowered,30,2.16,22,23.8,4.2,3,73,1,NY_63
never_flowered,30,2.16,19,20.8,5,3,73,1,NY_63
never_flowered,30,2.16,20,24.1,6.2,3,73,1,NY_63
never_flowered,30,2.16,10,11.4,7.2,3,73,1,NY_63
never_flowered,30,2.16,20,20.5,8.2,3,73,1,NY_63
never_flowered,30,2.16,19,25,9.2,3,73,1,NY_63
never_flowered,30,20.295,15,13.4,4,3,64,0.876712329,NY_30
never_flowered,30,20.295,19,18.9,5.1,3,64,0.876712329,NY_30
never_flowered,30,20.295,17,18.5,5.2,3,64,0.876712329,NY_30
never_flowered,30,20.295,19,21.2,6,3,64,0.876712329,NY_30
never_flowered,30,20.295,25,29.1,7,3,73,1,NY_30
never_flowered,30,20.295,18,15.6,8.1,3,73,1,NY_30
never_flowered,30,20.295,16,19.9,8.2,3,73,1,NY_30
never_flowered,30,20.295,16,16.6,8.3,3,73,1,NY_30
never_flowered,30,20.295,23,24.8,9.1,3,73,1,NY_30
never_flowered,30,20.295,11,1.7,9.2,3,73,1,NY_30
never_flowered,30,20.295,8,1.2,9.3,3,73,1,NY_30
never_flowered,30,2.16,16,18.4,6.1,3,73,1,NY_63
