X.1,X,file,dataset,genotype,plant,px_cm,base_x,base_y,tip_x,tip_y,L_x,L_y,R_x,R_y,M_x,M_y,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,number_seeds,see_weight_mg,lateral_shoots,left_angle,right_angle,paper_genotype,seeds_per_fruit,seed_weight_fruit
0,0,14.2_15_16_set5_rep1_fruit1.jpg,16,14.2,as,300,486,149,33.5,131.5,40,246,58.5,23.5,144.5,122.5,-0.110561717,0.102699528617174,1.1445885500216464,1.3514179125096386,0.8770613104615173,0.9126363889585576,0.20705587216275,0.5698924400471805,0.8469538100883234,444,62.9,7,45.128178263823536,53.65504591474011,NY_09,14.8,2.0966666666666667
1,1,14.2_15_16_set5_rep1_fruit10.jpg,16,14.2,as,300,486,195,48.5,158.5,42,293,77.5,29.5,184.5,163.5,-0.126214156,0.029892628,1.1405936357949216,1.375760265320224,0.8889392906894606,0.9217196652233788,0.059829391,0.5698348837839289,0.8430380735759133,444,62.9,7,44.36919519863005,49.286859491180984,NY_09,14.8,2.0966666666666667
2,2,14.2_15_16_set5_rep1_fruit2.jpg,16,14.2,as,300,484,159,36.5,157.5,48,297,55.5,31.5,181.5,161.5,-0.138119554,0.057347979,1.132318411701434,1.3337829995428585,0.8672329924974171,0.9159733178556028,0.1095571635318849,0.5767046161606302,0.8478815443563191,444,62.9,7,47.00615554944317,44.31500123741106,NY_09,14.8,2.0966666666666667
3,3,14.2_15_16_set5_rep1_fruit3.jpg,16,14.2,as,300,483,151,41.5,125.5,43,236,55.5,30.5,155.5,132.5,-0.124250996,0.080596761,1.1706436416776491,1.2938825985352844,0.8584192445200358,0.915772303620318,0.1721911103452628,0.5753356729857907,0.8982952122247725,444,62.9,7,46.12780623021615,42.05351614925297,NY_09,14.8,2.0966666666666667
4,4,14.2_15_16_set5_rep1_fruit4.jpg,16,14.2,as,300,487,156,32.5,150.5,53,284,50.5,33.5,171.5,146.5,-0.041348518,0.0372009066872107,1.156981796704122,1.4689533340176888,0.9254431092529032,0.8822344415718275,0.1147189413227478,0.5254407782283811,0.7863984537293993,444,62.9,7,47.59629429115807,44.69027707566209,NY_09,14.8,2.0966666666666667
5,5,14.2_15_16_set5_rep1_fruit5.jpg,16,14.2,as,300,480,159,36.5,160.5,45,281,45.5,30.5,174.5,156.5,-0.160491036,0.034862198,1.138932197165975,1.278013977207059,0.8103300388190036,0.9042472040837836,0.089466578,0.5697952360684758,0.8872956273705944,444,62.9,7,42.21199360515851,45.98624547099829,NY_09,14.8,2.0966666666666667
6,6,14.2_15_16_set5_rep1_fruit6.jpg,16,14.2,as,300,482,126,37.5,134.5,42,239,58.5,31.5,159.5,138.5,-0.091629095,0.066300349,1.1375851600466576,1.3416730429738886,0.8413236887949118,0.8975919768243129,0.1335113909106289,0.5773832495928665,0.8579581134990453,444,62.9,7,42.41888192213963,44.77442723036595,NY_09,14.8,2.0966666666666667
7,7,14.2_15_16_set5_rep1_fruit7.jpg,16,14.2,as,300,486,177,40.5,205.5,63,347,49.5,39.5,206.5,181.5,-0.08363175,-0.034035483,1.1397883838707144,1.3957092187183149,0.8709634254925867,0.898305584,0.0108633069223103,0.5653673277188876,0.8113885822530726,444,62.9,7,40.84571681391113,50.35475997711541,NY_09,14.8,2.0966666666666667
8,8,14.2_15_16_set5_rep1_fruit8.jpg,16,14.2,as,300,479,130,48.5,143.5,49,261,40.5,33.5,178.5,132.5,-0.139413602,0.081416314,1.1398996762734568,1.2246779385470796,0.7945230155477603,0.9126538882196372,0.1506380359985264,0.5677068221337234,0.9216565348496902,444,62.9,7,39.94134100157123,40.49191154363562,NY_09,14.8,2.0966666666666667
9,9,14.2_15_16_set5_rep1_fruit9.jpg,16,14.2,as,300,484,159,43.5,169.5,58,307,48.5,35.5,187.5,142.5,-0.138704171,-0.007924813,1.142416427279232,1.3131443288728573,0.8702207682253018,0.9199092661002402,0.0119951040350974,0.572583462,0.8554326434888472,444,62.9,7,41.169319298283654,48.20816241697625,NY_09,14.8,2.0966666666666667
10,10,14.2_15_16_set5_rep3_fruit1.jpg,16,14.2,at,300,408,187,31.5,185.5,42,352,54.5,38.5,169.5,176.5,-0.082672611,-0.032753952,1.133491879,1.3302170912100926,0.8768367580422982,0.9245378592247436,0.007302224,0.6104658809499809,0.8355941900177465,482,48.3,8,50.27035812340086,53.92582590689525,NY_09,16.066666666666666,1.6099999999999999
11,11,14.2_15_16_set5_rep3_fruit10.jpg,16,14.2,at,300,482,177,56.5,152.5,35,283,81.5,33.5,202.5,155.5,-0.123417354,0.030042998,1.1500808035550791,1.3140460354953514,0.8822136186244904,0.9144624452593978,0.0544427046896541,0.5845695056134921,0.8756604716370745,482,48.3,8,38.455319085851094,44.05863888389457,NY_09,16.066666666666666,1.6099999999999999
12,12,14.2_15_16_set5_rep3_fruit2.jpg,16,14.2,at,300,486,171,38.5,174.5,49,314,47.5,37.5,182.5,163.5,-0.098940075,-0.01688124,1.1393278557759152,1.313738227785127,0.8481935767142375,0.9258813852340636,0.007259088,0.5964333059791492,0.8581858200209124,482,48.3,8,44.057311979277905,47.393343423706405,NY_09,16.066666666666666,1.6099999999999999
13,13,14.2_15_16_set5_rep3_fruit3.jpg,16,14.2,at,300,483,128,42.5,123.5,41,223,41.5,28.5,159.5,125.5,-0.131480715,0.076435447,1.1299122366285186,1.28371375635273,0.8333385854865014,0.9137224126073328,0.1195463864973097,0.5618363420851543,0.8866597129524015,482,48.3,8,40.426348621302694,38.44204409026714,NY_09,16.066666666666666,1.6099999999999999
14,14,14.2_15_16_set5_rep3_fruit4.jpg,16,14.2,at,300,484,139,44.5,133.5,48,243,45.5,32.5,161.5,130.5,-0.096694871,0.0620449744993146,1.1556573619637525,1.328704096609942,0.8830419178709299,0.9141938101140984,0.0996568,0.568390206,0.8739766618168929,482,48.3,8,43.27767979184216,41.660846751355365,NY_09,16.066666666666666,1.6099999999999999
15,15,14.2_15_16_set5_rep3_fruit5.jpg,16,14.2,at,300,484,139,36.5,142.5,43,247,44.5,34.5,180.5,137.5,-0.123057845,0.05978559555252,1.146475348210661,1.296343513159557,0.8752465023975766,0.9294329226025564,0.095519422,0.6108579902289151,0.8877560989014369,482,48.3,8,36.543903215734424,39.12721245211298,NY_09,16.066666666666666,1.6099999999999999
